client_id,gender,age_group,first_order_date,client_type
1,female,35-44,2023-01-01,regular
2,female,25-34,2023-01-01,regular
3,male,35-44,2023-01-01,regular
4,female,45-54,2023-01-01,regular
5,female,25-34,2023-01-01,regular
6,male,35-44,2023-01-01,regular
7,female,18-24,2023-01-01,regular
8,male,25-34,2023-01-02,regular
9,female,35-44,2023-01-02,regular
10,female,18-24,2023-01-02,regular
11,female,25-34,2023-01-02,regular
12,male,25-34,2023-01-03,new
13,male,45-54,2023-01-03,regular
14,male,35-44,2023-01-03,regular
15,male,25-34,2023-01-03,regular
16,unknown,45-54,2023-01-03,new
17,female,45-54,2023-01-03,regular
18,female,25-34,2023-01-04,regular
19,female,55+,2023-01-04,regular
20,female,25-34,2023-01-04,regular
21,female,45-54,2023-01-05,regular
22,female,35-44,2023-01-06,regular
23,female,25-34,2023-01-06,regular
24,unknown,45-54,2023-01-07,regular
25,male,45-54,2023-01-07,regular
26,female,25-34,2023-01-07,regular
27,male,35-44,2023-01-07,regular
28,unknown,25-34,2023-01-07,regular
29,male,25-34,2023-01-07,regular
30,female,25-34,2023-01-07,new
31,female,18-24,2023-01-08,regular
32,female,35-44,2023-01-08,regular
33,male,25-34,2023-01-09,regular
34,female,35-44,2023-01-09,regular
35,female,35-44,2023-01-09,regular
36,male,25-34,2023-01-09,regular
37,female,25-34,2023-01-09,regular
38,female,25-34,2023-01-09,regular
39,unknown,35-44,2023-01-10,regular
40,female,35-44,2023-01-10,regular
41,female,55+,2023-01-11,regular
42,female,25-34,2023-01-11,new
43,female,35-44,2023-01-11,regular
44,female,45-54,2023-01-11,regular
45,male,25-34,2023-01-12,regular
46,male,45-54,2023-01-12,regular
47,female,25-34,2023-01-12,regular
48,female,25-34,2023-01-12,regular
49,male,18-24,2023-01-12,regular
50,male,55+,2023-01-13,regular
51,male,18-24,2023-01-13,regular
52,female,35-44,2023-01-14,regular
53,female,25-34,2023-01-14,regular
54,female,25-34,2023-01-14,regular
55,male,45-54,2023-01-14,regular
56,female,25-34,2023-01-14,regular
57,female,25-34,2023-01-14,regular
58,female,25-34,2023-01-15,regular
59,female,35-44,2023-01-15,regular
60,male,45-54,2023-01-16,regular
61,female,35-44,2023-01-16,regular
62,female,18-24,2023-01-16,regular
63,female,25-34,2023-01-16,regular
64,male,35-44,2023-01-19,regular
65,male,25-34,2023-01-19,new
66,male,35-44,2023-01-19,regular
67,female,18-24,2023-01-19,regular
68,female,55+,2023-01-20,regular
69,female,25-34,2023-01-21,regular
70,male,35-44,2023-01-21,regular
71,female,25-34,2023-01-21,new
72,male,35-44,2023-01-21,regular
73,female,35-44,2023-01-21,regular
74,female,35-44,2023-01-21,regular
75,female,45-54,2023-01-22,regular
76,female,25-34,2023-01-22,regular
77,female,35-44,2023-01-22,regular
78,female,25-34,2023-01-23,regular
79,male,35-44,2023-01-23,regular
80,female,25-34,2023-01-23,regular
81,female,35-44,2023-01-24,regular
82,female,35-44,2023-01-24,regular
83,male,35-44,2023-01-25,regular
84,female,25-34,2023-01-26,regular
85,male,35-44,2023-01-26,regular
86,male,55+,2023-01-26,regular
87,female,35-44,2023-01-27,new
88,female,25-34,2023-01-28,regular
89,male,45-54,2023-01-28,regular
90,male,25-34,2023-01-28,regular
91,male,35-44,2023-01-29,regular
92,male,45-54,2023-01-29,regular
93,female,18-24,2023-01-29,new
94,female,25-34,2023-01-29,regular
95,female,25-34,2023-01-29,regular
96,female,35-44,2023-01-29,regular
97,female,25-34,2023-01-30,regular
98,female,25-34,2023-01-30,regular
99,female,18-24,2023-01-31,new
100,male,25-34,2023-02-01,regular
101,male,25-34,2023-02-01,new
102,male,35-44,2023-02-01,regular
103,female,45-54,2023-02-03,regular
104,female,18-24,2023-02-03,regular
105,male,25-34,2023-02-03,regular
106,female,35-44,2023-02-03,new
107,female,25-34,2023-02-04,regular
108,unknown,25-34,2023-02-04,regular
109,female,25-34,2023-02-04,regular
110,unknown,35-44,2023-02-04,new
111,female,35-44,2023-02-05,regular
112,female,55+,2023-02-05,regular
113,female,35-44,2023-02-06,regular
114,female,55+,2023-02-06,regular
115,male,45-54,2023-02-06,regular
116,female,55+,2023-02-06,regular
117,female,25-34,2023-02-06,regular
118,female,35-44,2023-02-06,new
119,female,35-44,2023-02-06,regular
120,female,35-44,2023-02-07,regular
121,female,45-54,2023-02-07,regular
122,female,35-44,2023-02-08,regular
123,female,45-54,2023-02-08,regular
124,male,45-54,2023-02-10,regular
125,male,25-34,2023-02-10,regular
126,female,25-34,2023-02-10,regular
127,male,35-44,2023-02-10,regular
128,female,25-34,2023-02-10,regular
129,male,35-44,2023-02-10,regular
130,male,25-34,2023-02-10,regular
131,female,45-54,2023-02-10,regular
132,female,25-34,2023-02-10,regular
133,female,35-44,2023-02-10,new
134,female,25-34,2023-02-11,regular
135,male,35-44,2023-02-11,new
136,female,45-54,2023-02-11,regular
137,female,18-24,2023-02-11,regular
138,male,45-54,2023-02-11,new
139,female,18-24,2023-02-11,regular
140,female,25-34,2023-02-11,regular
141,female,25-34,2023-02-11,regular
142,female,25-34,2023-02-11,regular
143,female,25-34,2023-02-11,regular
144,female,55+,2023-02-11,regular
145,unknown,25-34,2023-02-12,regular
146,female,35-44,2023-02-12,regular
147,male,25-34,2023-02-12,new
148,female,35-44,2023-02-12,regular
149,female,25-34,2023-02-12,regular
150,female,25-34,2023-02-12,regular
151,female,55+,2023-02-12,regular
152,female,35-44,2023-02-12,regular
153,female,35-44,2023-02-12,regular
154,female,35-44,2023-02-13,regular
155,female,25-34,2023-02-13,regular
156,male,45-54,2023-02-13,regular
157,female,25-34,2023-02-13,regular
158,female,18-24,2023-02-13,regular
159,female,18-24,2023-02-13,regular
160,female,25-34,2023-02-13,regular
161,male,25-34,2023-02-13,regular
162,female,45-54,2023-02-13,new
163,male,35-44,2023-02-13,regular
164,female,35-44,2023-02-13,new
165,male,25-34,2023-02-13,regular
166,unknown,55+,2023-02-13,regular
167,female,35-44,2023-02-13,regular
168,male,45-54,2023-02-13,regular
169,male,18-24,2023-02-13,regular
170,female,55+,2023-02-13,new
171,male,25-34,2023-02-13,regular
172,male,18-24,2023-02-14,regular
173,female,25-34,2023-02-14,regular
174,female,25-34,2023-02-14,regular
175,female,18-24,2023-02-14,regular
176,female,25-34,2023-02-14,regular
177,female,35-44,2023-02-14,regular
178,female,25-34,2023-02-14,regular
179,male,55+,2023-02-14,regular
180,male,18-24,2023-02-14,regular
181,female,18-24,2023-02-14,regular
182,female,25-34,2023-02-14,regular
183,female,55+,2023-02-14,new
184,male,25-34,2023-02-14,regular
185,male,35-44,2023-02-14,regular
186,female,25-34,2023-02-14,regular
187,female,25-34,2023-02-14,regular
188,female,45-54,2023-02-14,new
189,female,45-54,2023-02-14,regular
190,male,25-34,2023-02-14,regular
191,unknown,35-44,2023-02-14,regular
192,female,25-34,2023-02-14,regular
193,female,35-44,2023-02-14,new
194,female,25-34,2023-02-14,regular
195,male,25-34,2023-02-15,regular
196,male,18-24,2023-02-15,regular
197,male,35-44,2023-02-16,regular
198,male,45-54,2023-02-16,regular
199,male,35-44,2023-02-17,regular
200,male,35-44,2023-02-17,regular
201,male,25-34,2023-02-17,regular
202,female,25-34,2023-02-17,regular
203,male,25-34,2023-02-17,new
204,female,25-34,2023-02-18,regular
205,male,25-34,2023-02-18,regular
206,female,25-34,2023-02-19,regular
207,female,25-34,2023-02-21,regular
208,male,45-54,2023-02-21,regular
209,female,45-54,2023-02-21,regular
210,female,35-44,2023-02-21,regular
211,female,25-34,2023-02-22,regular
212,male,18-24,2023-02-23,regular
213,female,35-44,2023-02-23,regular
214,male,45-54,2023-02-23,new
215,female,55+,2023-02-23,new
216,male,45-54,2023-02-24,regular
217,female,35-44,2023-02-25,new
218,female,18-24,2023-02-26,regular
219,male,25-34,2023-02-26,regular
220,male,25-34,2023-02-27,regular
221,male,45-54,2023-02-27,regular
222,male,25-34,2023-02-27,new
223,female,35-44,2023-02-28,regular
224,female,35-44,2023-02-28,regular
225,female,25-34,2023-02-28,regular
226,male,25-34,2023-03-01,regular
227,male,35-44,2023-03-01,regular
228,female,35-44,2023-03-01,regular
229,female,55+,2023-03-01,regular
230,male,18-24,2023-03-01,new
231,male,35-44,2023-03-01,regular
232,female,25-34,2023-03-01,regular
233,female,35-44,2023-03-01,regular
234,female,45-54,2023-03-01,regular
235,male,35-44,2023-03-01,regular
236,unknown,45-54,2023-03-01,regular
237,female,25-34,2023-03-01,regular
238,male,35-44,2023-03-01,regular
239,female,25-34,2023-03-01,new
240,male,25-34,2023-03-01,new
241,female,35-44,2023-03-02,regular
242,female,25-34,2023-03-02,regular
243,female,45-54,2023-03-02,regular
244,female,45-54,2023-03-02,regular
245,male,35-44,2023-03-02,regular
246,unknown,35-44,2023-03-02,regular
247,female,35-44,2023-03-02,regular
248,female,35-44,2023-03-02,new
249,male,18-24,2023-03-02,regular
250,female,55+,2023-03-02,regular
251,female,45-54,2023-03-02,regular
252,male,35-44,2023-03-02,regular
253,male,45-54,2023-03-02,regular
254,male,35-44,2023-03-02,regular
255,female,25-34,2023-03-02,regular
256,female,35-44,2023-03-02,regular
257,female,55+,2023-03-03,regular
258,male,55+,2023-03-03,regular
259,male,45-54,2023-03-03,new
260,male,55+,2023-03-03,regular
261,female,45-54,2023-03-03,regular
262,male,25-34,2023-03-03,regular
263,female,18-24,2023-03-03,regular
264,male,25-34,2023-03-03,new
265,female,25-34,2023-03-03,regular
266,female,25-34,2023-03-03,regular
267,male,25-34,2023-03-03,new
268,female,25-34,2023-03-03,new
269,female,35-44,2023-03-03,regular
270,male,45-54,2023-03-03,regular
271,female,35-44,2023-03-03,regular
272,male,18-24,2023-03-03,regular
273,male,25-34,2023-03-03,regular
274,female,35-44,2023-03-03,regular
275,male,25-34,2023-03-03,regular
