order_item_id,order_id,bouquet_id,quantity,unit_price
1,1,11,1,3200
2,1,18,1,1650
3,2,24,1,5400
4,3,11,3,3200
5,4,22,1,5800
6,5,1,1,7200
7,6,6,1,8000
8,7,1,1,7200
9,8,1,1,7200
10,9,24,1,5400
11,10,14,1,5850
12,11,24,1,5400
13,12,24,1,5400
14,13,11,2,3200
15,13,10,3,5100
16,14,2,1,5450
17,15,10,1,5100
18,16,25,4,3850
19,17,7,2,4250
20,18,24,1,5400
21,19,19,1,8600
22,20,1,1,7200
23,21,11,1,3200
24,22,2,1,5450
25,23,11,1,3200
26,24,11,1,3200
27,25,1,1,7200
28,26,7,1,4250
29,27,1,1,7200
30,28,28,6,5500
31,29,28,4,5500
32,30,1,1,7200
33,31,14,1,5850
34,32,7,1,4250
35,33,23,1,2850
36,34,11,1,3200
37,35,24,1,5400
38,36,18,1,1650
39,37,6,1,8000
40,38,7,5,4250
41,38,16,1,6600
42,38,30,4,4700
43,39,17,1,4800
44,40,18,1,1650
45,41,24,1,5400
46,42,22,1,5800
47,43,11,1,3200
48,43,7,1,4250
49,44,7,1,4250
50,45,30,5,4700
51,46,10,1,5100
52,47,30,1,4700
53,48,30,1,4700
54,49,23,1,2850
55,50,18,1,1650
56,50,11,1,3200
57,51,17,1,4800
58,52,11,4,3200
59,53,23,1,2850
60,54,30,1,4700
61,55,11,2,3200
62,56,30,1,4700
63,57,11,1,3200
64,57,25,2,3850
65,58,28,1,5500
66,58,23,2,2850
67,59,6,1,8000
68,60,1,1,7200
69,61,13,1,4200
70,62,19,1,8600
71,63,10,1,5100
72,64,24,1,5400
73,65,1,1,7200
74,65,13,2,4200
75,66,1,1,7200
76,67,10,1,5100
77,67,7,1,4250
78,68,6,1,8000
79,69,18,1,1650
80,70,30,2,4700
81,71,24,1,5400
82,72,17,1,4800
83,73,22,1,5800
84,74,6,2,8000
85,75,28,3,5500
86,75,10,3,5100
87,76,11,5,3200
88,77,10,1,5100
89,78,24,1,5400
90,79,10,1,5100
91,80,16,1,6600
92,81,30,1,4700
93,82,9,1,6300
94,83,1,1,7200
95,84,24,1,5400
96,85,6,1,8000
97,86,30,1,4700
98,87,25,1,3850
99,88,2,1,5450
100,89,10,1,5100
101,90,14,1,5850
102,91,7,1,4250
103,92,28,2,5500
104,93,23,1,2850
105,94,17,1,4800
106,95,6,1,8000
107,96,1,1,7200
108,97,17,1,4800
109,98,17,1,4800
110,99,28,6,5500
111,100,23,1,2850
112,101,24,1,5400
113,102,18,1,1650
114,102,1,1,7200
115,103,10,1,5100
116,104,9,2,6300
117,105,13,1,4200
118,106,16,1,6600
119,107,2,1,5450
120,108,25,1,3850
121,109,18,1,1650
122,110,30,1,4700
123,111,17,1,4800
124,112,18,1,1650
125,113,11,1,3200
126,114,6,1,8000
