order_id,order_date,client_id,sales_channel,event_type,status,discount_amount
1,2023-01-01,1,online,just_because,cancelled,0
2,2023-01-01,2,offline,just_because,completed,0
3,2023-01-01,3,online,corporate,completed,0
4,2023-01-01,4,offline,birthday,completed,0
5,2023-01-01,5,offline,just_because,completed,0
6,2023-01-01,6,offline,just_because,completed,0
7,2023-01-01,7,offline,just_because,completed,0
8,2023-01-02,8,offline,birthday,completed,0
9,2023-01-02,9,online,just_because,completed,0
10,2023-01-02,10,offline,birthday,completed,0
11,2023-01-02,11,offline,birthday,completed,0
12,2023-01-03,12,online,birthday,completed,0
13,2023-01-03,13,online,corporate,completed,1100
14,2023-01-03,14,offline,birthday,completed,0
15,2023-01-03,15,online,just_because,completed,0
16,2023-01-03,16,offline,corporate,cancelled,0
17,2023-01-03,17,online,corporate,completed,0
18,2023-01-04,18,offline,birthday,completed,0
19,2023-01-04,4,offline,just_because,completed,0
20,2023-01-04,19,online,birthday,completed,0
21,2023-01-04,7,online,just_because,cancelled,0
22,2023-01-04,20,offline,just_because,completed,0
23,2023-01-04,20,offline,just_because,completed,0
24,2023-01-05,21,offline,birthday,completed,0
25,2023-01-05,8,offline,birthday,completed,0
26,2023-01-06,22,online,just_because,completed,200
27,2023-01-06,23,online,just_because,completed,0
28,2023-01-07,24,offline,corporate,completed,3300
29,2023-01-07,25,online,corporate,completed,1100
30,2023-01-07,26,online,birthday,completed,0
31,2023-01-07,27,offline,birthday,completed,0
32,2023-01-07,28,offline,just_because,completed,0
33,2023-01-07,29,online,birthday,completed,0
34,2023-01-07,30,online,birthday,completed,0
35,2023-01-08,31,offline,just_because,completed,0
36,2023-01-08,7,offline,just_because,completed,0
37,2023-01-08,32,offline,birthday,completed,0
38,2023-01-09,33,offline,corporate,completed,3250
39,2023-01-09,34,online,just_because,completed,0
40,2023-01-09,35,offline,birthday,completed,0
41,2023-01-09,36,offline,birthday,completed,0
42,2023-01-09,37,online,birthday,completed,0
43,2023-01-09,38,offline,birthday,completed,0
44,2023-01-10,39,online,just_because,completed,0
45,2023-01-10,40,online,corporate,completed,1650
46,2023-01-11,41,offline,birthday,completed,0
47,2023-01-11,42,online,just_because,completed,250
48,2023-01-11,43,online,just_because,completed,0
49,2023-01-11,44,offline,just_because,completed,0
50,2023-01-12,45,online,birthday,completed,0
51,2023-01-12,46,offline,birthday,completed,0
52,2023-01-12,47,online,corporate,completed,1300
53,2023-01-12,48,offline,birthday,completed,0
54,2023-01-12,49,offline,just_because,completed,0
55,2023-01-13,50,offline,corporate,completed,0
56,2023-01-13,51,online,just_because,completed,150
57,2023-01-14,52,offline,corporate,completed,550
58,2023-01-14,53,offline,corporate,completed,1100
59,2023-01-14,54,offline,birthday,completed,0
60,2023-01-14,55,online,birthday,completed,0
61,2023-01-14,56,online,just_because,completed,0
62,2023-01-14,57,offline,birthday,completed,0
63,2023-01-14,9,offline,birthday,completed,0
64,2023-01-15,58,offline,birthday,completed,0
65,2023-01-15,59,offline,just_because,completed,0
66,2023-01-16,60,offline,birthday,completed,0
