"month","revenue","order_count","avg_order_value_by_month"
2023-01-01,944600.00,120,134943
2023-02-01,1549950.00,215,258325
2023-03-01,3161350.00,505,451621
2023-04-01,1066050.00,140,177675
2023-05-01,1527450.00,175,190931
2023-06-01,2416600.00,269,604150
2023-07-01,1331350.00,134,221892
2023-08-01,1326450.00,220,221075
2023-09-01,1033900.00,144,172317
2023-10-01,1000150.00,136,142879
2023-11-01,992850.00,141,141836
2023-12-01,2612450.00,250,326556
2024-01-01,1091550.00,139,155936
2024-02-01,1668200.00,226,238314
2024-03-01,3320450.00,548,474350
2024-04-01,1086550.00,161,155221
2024-05-01,1403050.00,161,200436
2024-06-01,3358850.00,323,839713
2024-07-01,1558950.00,166,311790
2024-08-01,1815450.00,267,259350
2024-09-01,1100750.00,165,137594
2024-10-01,990450.00,150,165075
2024-11-01,1091250.00,163,181875
2024-12-01,2882550.00,272,360319
