"year","month_number","month_name","count_order","bouquet_count","revenue","avg_order_value"
2023,1,January,120,131,944600.00,7871.67
2023,2,February,215,234,1549950.00,7209.07
2023,3,March,505,553,3161350.00,6260.10
2023,4,April,140,156,1066050.00,7614.64
2023,5,May,175,207,1527450.00,8728.29
2023,6,June,269,330,2416600.00,8983.64
2023,7,July,134,161,1331350.00,9935.45
2023,8,August,220,242,1326450.00,6029.32
2023,9,September,144,167,1033900.00,7179.86
2023,10,October,136,154,1000150.00,7354.04
2023,11,November,141,152,992850.00,7041.49
2023,12,December,250,300,2612450.00,10449.80
2024,1,January,139,167,1091550.00,7852.88
2024,2,February,226,251,1668200.00,7381.42
2024,3,March,548,584,3320450.00,6059.22
2024,4,April,161,177,1086550.00,6748.76
2024,5,May,161,185,1403050.00,8714.60
2024,6,June,323,410,3358850.00,10398.92
2024,7,July,166,201,1558950.00,9391.27
2024,8,August,267,307,1815450.00,6799.44
2024,9,September,165,182,1100750.00,6671.21
2024,10,October,150,161,990450.00,6603.00
2024,11,November,163,181,1091250.00,6694.79
2024,12,December,272,320,2882550.00,10597.61
