"month_number","month_name","revenue_2023","revenue_2024","revenue_growth_rate"
1,January,944600.00,1091550.00,0.1556
2,February,1549950.00,1668200.00,0.0763
3,March,3161350.00,3320450.00,0.0503
4,April,1066050.00,1086550.00,0.0192
5,May,1527450.00,1403050.00,-0.0814
6,June,2416600.00,3358850.00,0.3899
7,July,1331350.00,1558950.00,0.1710
8,August,1326450.00,1815450.00,0.3687
9,September,1033900.00,1100750.00,0.0647
10,October,1000150.00,990450.00,-0.0097
11,November,992850.00,1091250.00,0.0991
12,December,2612450.00,2882550.00,0.1034
